id,type,amount,category,description,date,tax_percent
41,income,7730.85,salary,investment return,2003-05-17,15.0
42,expense,216.54,others,movie ticket,2004-03-26,0.0
43,expense,567.94,transport,groceries,2004-11-30,0.0
44,income,7149.2,salary,monthly salary,2003-11-05,10.0
45,expense,79.69,food,electricity bill,2004-03-07,0.0
46,expense,779.85,entertainment,rent payment,2005-02-02,0.0
47,expense,707.5,rent,groceries,2005-06-15,0.0
48,income,8945.85,salary,investment return,2003-04-07,5.0
49,income,2706.32,others,investment return,2005-05-13,10.0
50,income,3728.77,others,freelance,2004-03-09,10.0
51,income,1847.51,salary,freelance,2005-04-26,10.0
52,expense,954.49,utilities,groceries,2005-09-16,0.0
53,expense,608.56,entertainment,movie ticket,2003-06-13,0.0
54,income,3092.19,salary,monthly salary,2003-02-04,15.0
55,income,9924.13,salary,investment return,2005-03-11,5.0
56,income,7113.74,salary,investment return,2003-04-01,0.0
57,expense,127.67,food,bus fare,2005-12-22,0.0
58,expense,556.01,food,misc purchase,2005-08-02,0.0
59,expense,792.98,utilities,rent payment,2004-04-15,0.0
60,expense,713.89,utilities,misc purchase,2005-03-11,0.0
61,income,6998.89,others,monthly salary,2005-05-07,10.0
62,income,7957.17,others,bonus,2004-07-05,15.0
63,income,3929.6,salary,freelance,2005-05-10,5.0
64,income,5066.75,salary,bonus,2004-06-11,10.0
65,income,6171.86,salary,freelance,2004-06-23,10.0
66,expense,473.24,transport,movie ticket,2003-03-18,0.0
67,income,9971.91,others,freelance,2004-11-22,10.0
68,expense,560.59,food,movie ticket,2003-08-22,0.0
69,expense,536.16,transport,groceries,2003-10-14,0.0
70,expense,440.39,transport,rent payment,2003-05-12,0.0
71,income,6699.02,salary,bonus,2003-11-28,5.0
72,expense,575.68,transport,bus fare,2005-05-14,0.0
73,expense,540.96,transport,bus fare,2003-04-02,0.0
74,expense,228.65,food,misc purchase,2004-04-15,0.0
75,income,7750.54,salary,monthly salary,2003-06-08,5.0
76,expense,479.43,food,movie ticket,2004-08-29,0.0
77,expense,182.32,entertainment,misc purchase,2003-06-14,0.0
78,expense,790.2,entertainment,electricity bill,2004-06-04,0.0
79,income,8541.61,others,bonus,2005-08-15,5.0
80,income,5969.42,salary,monthly salary,2005-06-07,5.0
81,income,6116.58,salary,freelance,2004-05-18,5.0
82,income,8482.99,others,freelance,2004-12-09,15.0
83,income,6195.36,others,investment return,2004-06-20,5.0
84,expense,568.41,utilities,electricity bill,2003-03-18,0.0
85,expense,500.74,entertainment,bus fare,2005-02-19,0.0
86,expense,720.4,utilities,rent payment,2004-11-08,0.0
87,income,4899.87,others,freelance,2003-12-23,5.0
88,expense,762.62,others,movie ticket,2003-12-22,0.0
89,income,5929.82,others,bonus,2004-02-26,5.0
90,expense,956.65,others,groceries,2003-05-22,0.0
91,income,2247.45,salary,investment return,2003-11-15,10.0
92,income,2747.51,salary,investment return,2004-07-25,5.0
93,income,1356.34,others,monthly salary,2004-10-28,5.0
94,expense,66.84,utilities,movie ticket,2003-06-08,0.0
95,expense,33.56,entertainment,electricity bill,2003-12-03,0.0
96,expense,386.22,rent,movie ticket,2005-08-12,0.0
97,income,7008.86,others,investment return,2005-05-18,10.0
98,income,5647.87,others,bonus,2005-06-12,5.0
99,expense,778.17,food,bus fare,2004-07-25,0.0
100,expense,357.76,rent,electricity bill,2003-07-10,0.0
101,expense,378.17,rent,rent payment,2004-01-04,0.0
102,expense,438.34,rent,bus fare,2004-08-05,0.0
103,expense,502.75,transport,bus fare,2005-02-05,0.0
104,income,6514.72,others,monthly salary,2005-03-05,15.0
105,expense,209.81,transport,movie ticket,2004-09-30,0.0
106,expense,72.38,food,misc purchase,2005-04-22,0.0
107,expense,72.86,utilities,rent payment,2005-10-27,0.0
108,expense,10.61,transport,movie ticket,2004-01-09,0.0
109,income,6172.24,salary,bonus,2003-03-15,10.0
110,income,5076.61,salary,monthly salary,2005-09-07,5.0
111,income,2997.59,salary,freelance,2003-06-15,15.0
112,income,5762.25,others,investment return,2005-09-22,5.0
113,income,7165.32,salary,freelance,2003-06-13,15.0
114,expense,300.74,others,electricity bill,2004-01-11,0.0
115,expense,78.55,transport,movie ticket,2004-05-01,0.0
116,income,3256.81,others,monthly salary,2005-12-09,5.0
117,expense,735.61,rent,groceries,2004-07-24,0.0
118,income,6048.53,others,freelance,2005-12-20,0.0
119,income,6065.4,salary,bonus,2005-12-23,0.0
120,expense,46.73,entertainment,electricity bill,2004-11-01,0.0
121,expense,921.92,utilities,bus fare,2003-05-21,0.0
122,expense,670.74,others,groceries,2004-08-27,0.0
123,income,8461.14,others,bonus,2003-04-02,15.0
124,income,5502.69,others,bonus,2004-01-10,10.0
125,expense,946.81,food,electricity bill,2004-01-08,0.0
126,expense,139.11,utilities,electricity bill,2005-05-05,0.0
127,expense,400.92,food,electricity bill,2004-11-01,0.0
128,expense,863.69,entertainment,movie ticket,2004-02-17,0.0
129,expense,759.21,rent,rent payment,2003-12-17,0.0
130,expense,757.55,food,movie ticket,2005-07-19,0.0
131,expense,524.74,entertainment,rent payment,2003-07-21,0.0
132,income,7901.67,others,investment return,2004-08-18,15.0
133,income,4179.95,salary,investment return,2005-10-31,10.0
134,income,5292.45,others,monthly salary,2005-03-13,10.0
135,income,8849.34,others,freelance,2003-08-28,0.0
136,income,7863.43,salary,investment return,2003-06-11,10.0
137,expense,411.74,others,misc purchase,2004-08-02,0.0
138,expense,891.22,entertainment,groceries,2005-08-23,0.0
139,income,4804.69,others,investment return,2003-01-07,10.0
140,income,5623.65,others,bonus,2004-11-28,5.0
141,income,9859.04,salary,bonus,2004-03-20,0.0
142,expense,621.47,others,groceries,2005-12-20,0.0
143,income,7433.94,salary,bonus,2003-11-15,5.0
144,expense,392.64,others,rent payment,2003-12-24,0.0
145,expense,431.88,transport,rent payment,2003-09-21,0.0
146,income,5440.95,others,bonus,2005-05-24,5.0
147,expense,166.59,others,misc purchase,2005-04-25,0.0
148,expense,277.94,entertainment,rent payment,2005-10-26,0.0
149,expense,248.32,rent,groceries,2004-07-17,0.0
150,income,4130.66,salary,freelance,2005-09-20,10.0
151,income,7530.57,others,monthly salary,2003-06-03,5.0
152,income,8656.3,salary,investment return,2005-09-14,5.0
153,income,4473.2,salary,investment return,2004-10-19,15.0
154,income,9290.62,others,monthly salary,2003-09-12,15.0
155,income,6410.94,salary,investment return,2003-06-03,15.0
156,income,2593.67,salary,investment return,2005-11-22,0.0
157,expense,55.29,rent,rent payment,2003-10-16,0.0
158,income,3064.42,others,bonus,2005-06-18,5.0
159,expense,726.78,rent,bus fare,2005-02-17,0.0
160,expense,411.97,transport,rent payment,2004-06-08,0.0
161,income,9351.5,others,freelance,2005-10-11,15.0
162,income,3216.3,salary,bonus,2004-12-02,10.0
163,expense,717.5,transport,movie ticket,2004-09-15,0.0
164,income,7106.28,salary,monthly salary,2004-01-22,10.0
165,income,3153.34,salary,freelance,2003-03-21,0.0
166,expense,907.12,rent,bus fare,2005-11-22,0.0
167,expense,793.74,entertainment,movie ticket,2003-04-06,0.0
168,expense,787.77,rent,bus fare,2003-01-01,0.0
169,expense,962.87,food,rent payment,2004-03-02,0.0
170,income,2191.23,others,investment return,2003-10-06,15.0
171,income,9235.92,salary,freelance,2004-08-19,0.0
172,income,8622.81,salary,bonus,2005-11-26,0.0
173,income,2673.61,salary,bonus,2004-02-13,5.0
174,income,1707.99,others,investment return,2003-10-06,0.0
175,income,5208.18,others,monthly salary,2004-06-29,10.0
176,expense,900.75,entertainment,bus fare,2005-12-12,0.0
177,income,2097.37,salary,freelance,2005-06-05,5.0
178,expense,11.46,others,groceries,2003-03-04,0.0
179,expense,244.64,utilities,misc purchase,2004-01-24,0.0
180,expense,325.5,others,movie ticket,2005-05-17,0.0
181,income,8875.69,others,bonus,2003-03-08,15.0
182,income,5661.64,salary,investment return,2003-10-25,5.0
183,income,3696.18,salary,bonus,2005-12-27,15.0
184,expense,692.3,transport,rent payment,2005-10-25,0.0
185,expense,919.16,food,misc purchase,2003-06-21,0.0
186,income,2833.16,salary,investment return,2003-02-09,0.0
187,expense,228.01,utilities,groceries,2005-02-07,0.0
188,expense,180.04,others,bus fare,2005-04-22,0.0
189,income,9245.2,salary,monthly salary,2003-07-15,5.0
190,income,3830.49,others,bonus,2003-03-25,15.0
191,income,4510.44,others,investment return,2005-03-26,15.0
192,expense,709.76,rent,movie ticket,2004-03-28,0.0
193,expense,918.92,utilities,movie ticket,2003-04-15,0.0
194,income,5797.9,others,monthly salary,2003-05-02,15.0
195,income,4832.04,salary,freelance,2003-07-11,5.0
196,expense,803.32,transport,bus fare,2004-08-04,0.0
197,income,7812.31,others,investment return,2005-08-29,0.0
198,income,7839.88,others,investment return,2005-06-26,5.0
199,income,2758.93,others,freelance,2005-04-28,10.0
200,income,8032.41,salary,bonus,2003-02-16,10.0
201,income,6920.18,others,freelance,2003-04-15,0.0
202,income,4114.38,others,bonus,2003-11-13,0.0
203,expense,957.52,utilities,movie ticket,2003-03-12,0.0
204,income,9214.71,others,investment return,2004-11-17,15.0
205,expense,710.65,rent,rent payment,2005-01-12,0.0
206,expense,219.06,transport,rent payment,2003-02-03,0.0
207,expense,424.75,others,rent payment,2005-06-18,0.0
208,income,4468.89,salary,monthly salary,2003-10-14,10.0
209,income,8770.72,salary,investment return,2003-01-13,5.0
210,income,3145.92,others,monthly salary,2004-10-01,15.0
211,expense,254.85,utilities,rent payment,2004-09-16,0.0
212,expense,530.85,transport,misc purchase,2004-06-05,0.0
213,expense,333.09,others,bus fare,2003-08-11,0.0
214,expense,487.48,entertainment,rent payment,2003-05-17,0.0
215,expense,296.98,food,misc purchase,2004-09-07,0.0
216,income,7437.86,others,investment return,2003-12-25,15.0
217,expense,279.07,transport,rent payment,2003-09-30,0.0
218,income,4526.54,others,monthly salary,2005-08-26,5.0
219,income,5721.02,others,monthly salary,2003-11-09,5.0
220,expense,196.09,utilities,groceries,2004-11-12,0.0
221,expense,625.77,utilities,electricity bill,2003-10-09,0.0
222,income,1310.57,salary,investment return,2003-12-10,15.0
223,income,9905.16,salary,monthly salary,2005-09-08,5.0
224,expense,944.48,entertainment,groceries,2004-11-02,0.0
225,income,2222.4,others,monthly salary,2005-09-23,15.0
226,expense,784.0,others,bus fare,2005-07-23,0.0
227,income,7858.22,salary,investment return,2004-01-03,0.0
228,expense,11.71,utilities,rent payment,2003-04-06,0.0
229,expense,974.06,rent,electricity bill,2005-12-18,0.0
230,income,5704.96,salary,freelance,2004-05-02,0.0
231,expense,386.77,rent,misc purchase,2005-11-14,0.0
232,income,6612.37,others,monthly salary,2004-08-13,5.0
233,income,3279.18,others,monthly salary,2003-02-27,10.0
234,expense,844.73,utilities,groceries,2004-04-03,0.0
235,income,7679.36,salary,bonus,2005-04-22,10.0
236,income,7374.43,salary,monthly salary,2005-02-02,5.0
237,expense,170.59,rent,movie ticket,2004-10-22,0.0
238,expense,604.04,utilities,bus fare,2003-03-16,0.0
239,income,6263.53,salary,bonus,2004-01-15,10.0
240,expense,577.19,entertainment,groceries,2005-10-10,0.0
241,expense,911.92,entertainment,bus fare,2004-02-03,0.0
242,expense,670.52,utilities,groceries,2005-06-27,0.0
243,income,7853.29,others,bonus,2004-01-09,0.0
244,income,6310.72,salary,investment return,2004-12-24,10.0
245,expense,824.02,entertainment,rent payment,2004-08-23,0.0
246,expense,247.27,entertainment,electricity bill,2005-10-24,0.0
247,income,9596.61,salary,freelance,2005-12-25,5.0
248,expense,135.64,utilities,misc purchase,2004-01-10,0.0
249,expense,233.77,food,rent payment,2005-03-07,0.0
250,income,2744.86,salary,freelance,2005-06-05,10.0
251,income,8482.78,salary,freelance,2003-01-17,0.0
252,income,1092.89,others,bonus,2003-11-14,0.0
253,income,1996.99,others,bonus,2004-06-07,15.0
254,income,6351.02,salary,investment return,2005-05-11,0.0
255,income,2036.78,others,bonus,2004-08-16,15.0
256,expense,510.26,utilities,bus fare,2005-08-25,0.0
257,income,7277.27,salary,investment return,2005-10-26,5.0
258,income,2535.36,salary,freelance,2005-08-04,10.0
259,expense,211.2,rent,movie ticket,2005-10-02,0.0
260,income,3552.58,salary,freelance,2003-05-18,0.0
261,expense,919.85,utilities,bus fare,2004-05-03,0.0
262,expense,471.16,entertainment,groceries,2004-06-15,0.0
263,expense,980.82,rent,groceries,2005-03-31,0.0
264,expense,764.22,utilities,misc purchase,2004-08-15,0.0
265,expense,578.7,entertainment,misc purchase,2005-09-08,0.0
266,expense,319.7,others,bus fare,2005-07-08,0.0
267,expense,13.99,rent,movie ticket,2003-01-10,0.0
268,expense,919.47,others,electricity bill,2005-10-03,0.0
269,expense,44.45,utilities,rent payment,2003-06-26,0.0
270,income,1576.19,salary,monthly salary,2004-12-13,5.0
271,expense,109.04,food,misc purchase,2004-03-28,0.0
272,income,3992.98,salary,bonus,2003-07-25,5.0
273,income,7486.63,salary,investment return,2003-04-05,5.0
274,expense,541.29,entertainment,electricity bill,2004-07-24,0.0
275,income,6367.45,salary,freelance,2003-02-22,5.0
276,income,8909.98,salary,investment return,2005-05-10,0.0
277,expense,942.0,utilities,electricity bill,2005-06-23,0.0
278,expense,83.8,food,rent payment,2004-07-26,0.0
279,expense,645.38,rent,movie ticket,2003-06-27,0.0
280,expense,822.43,transport,groceries,2005-01-17,0.0
281,income,4442.86,others,monthly salary,2005-07-28,15.0
282,income,7889.16,salary,monthly salary,2005-02-27,0.0
283,income,5177.01,others,investment return,2003-03-21,0.0
284,income,7006.05,salary,freelance,2004-06-17,5.0
285,income,7902.67,others,bonus,2003-03-15,15.0
286,income,7896.75,salary,freelance,2004-06-18,10.0
287,income,8105.68,salary,monthly salary,2005-10-02,0.0
288,income,4635.14,salary,investment return,2003-04-09,5.0
289,income,1433.8,others,investment return,2005-06-19,0.0
290,income,6723.47,others,freelance,2003-03-31,0.0
291,income,7587.08,others,monthly salary,2004-07-12,0.0
292,income,9204.9,others,investment return,2005-01-04,0.0
293,expense,828.35,transport,misc purchase,2005-06-29,0.0
294,income,3700.23,others,bonus,2004-12-08,10.0
295,income,2795.52,others,monthly salary,2003-07-13,0.0
296,income,9197.18,salary,investment return,2004-01-06,5.0
297,income,2407.37,salary,monthly salary,2004-12-06,5.0
298,expense,81.37,others,misc purchase,2005-09-16,0.0
299,income,4191.76,salary,bonus,2003-06-15,0.0
300,income,8660.85,salary,investment return,2005-03-07,10.0
